area	company	pay
중구	올리브영 롯데피트인동대문점(CJ올리브네트	7240
강남구	맥도날드 한티역점	7200
강남구	맥도날드 대림점	7700
동작구	롯데리아 노량진점	9000
용산구	㈜포유키즈 토이피아,레고 용산 아이파크점	6600
강남구	반장즉석떡볶이	6700
송파구	이디야커피 거여역점	6100
강서구	후쿠오카함바그롯데몰김포공항점	6500
강남구	포메인 GS타워점	6500
도봉구	카페시안	6030
강남구	반장즉석떡볶이	6700
마포구	곰브라더스 공덕점	7000
금천구	GY한빛테크	7000
중구	세기상사㈜ 대한극장	6030
구로구	베이크스토리	6030
송파구	롯데리아 올림픽공원점	6130
중랑구	하남돼지집 묵동점	7500
중구	CJ올리브영 명동역2호점(CJ 올리브네트웍스	7240
강남구	CJ올리브영 강남우성점	7240
송파구	크리스피크림도넛_ 사당점	6030
구로구	㈜모비즌	6100
강남구	반장 즉석 떡볶이	6700
서초구	메가엠디 Prestige 260	6100
영등포구	로하스pc방 도림점	6300
영등포구	기소야 여의도 중앙점	7000
강남구	바른해치과	7000
중구	롯데백화점 본점 문화센터 아르바이트 모집	6100
구로구	아리스타 구로디지털 2호점	6100
강남구	카페라일락	6030
중구	올리브영 본점	7800
강남구	스타벅스 도곡역점	6100
종로구	마노핀 종각역점	6200
구로구	동서네낙지 신도림점	7000
강남구	세븐일레븐	6100
강남구	샐러디(Salady)	7200
종로구	BLACKMUG 서울의대점	6030
